id,name_heb,name_eng,geoname_id
NLI-VA-COUNTRIES85,????,Jordan,248816
NLI-VA-COUNTRIES86,????????,Kazakhstan,1522867
NLI-VA-COUNTRIES87,????,Kenya,192950
NLI-VA-COUNTRIES88,????????,Kiribati,4030945
NLI-VA-COUNTRIES89,??????,Kuwait,285570
NLI-VA-COUNTRIES90,??????????,Kyrgyzstan,1527747
NLI-VA-COUNTRIES91,????,Lao People's Democratic Republic (Laos),1655842
NLI-VA-COUNTRIES92,??????,Latvia,458258
NLI-VA-COUNTRIES93,?????,Lebanon,272103
NLI-VA-COUNTRIES94,?????,Lesotho,932692
NLI-VA-COUNTRIES95,??????,Liberia,2275384
NLI-VA-COUNTRIES96,???,Libya,2215636
NLI-VA-COUNTRIES97,??????????,Liechtenstein,3042058
NLI-VA-COUNTRIES98,????,Lithuania,597427
NLI-VA-COUNTRIES99,?????????,Luxembourg,2960316
NLI-VA-COUNTRIES100,???????,Macedonia,718075
NLI-VA-COUNTRIES101,??????,Madagascar,1062947
NLI-VA-COUNTRIES102,??????,Malawi,927384
NLI-VA-COUNTRIES103,?????,Malaysia,1733045
NLI-VA-COUNTRIES104,????? ?????????,Maldives,1282028
NLI-VA-COUNTRIES105,????,Mali,2453866
NLI-VA-COUNTRIES106,????,Malta,2562770
NLI-VA-COUNTRIES107,??? ????,Marshall Islands,2080185
NLI-VA-COUNTRIES108,?????????,Mauritania,2378080
NLI-VA-COUNTRIES109,?????????,Mauritius,934292
NLI-VA-COUNTRIES110,??????,Mexico,3996063
NLI-VA-COUNTRIES111,?????????,Micronesia (Federated States of),2081918
